Global frequency set at 1000000000000 ticks per second
gem5 Simulator System.  https://www.gem5.org
gem5 is copyrighted software; use the --copyright option for details.

gem5 version 25.0.0.1
gem5 compiled Dec  1 2025 18:50:16
gem5 started Dec  1 2025 21:03:36
gem5 executing on foisat01-vm.mpi-sp.org, pid 1609432
command line: ./build/X86/gem5.opt --debug-flags=AddressTrace configs/my-configs/x86-memory-tracker.py

info: Using default config
Running the simulation
 689000: global: Accessing address 0xc3ca6 from processor.cores0.core.data | Command: ReadReq
 695000: global: Accessing address 0xc3c94 from processor.cores0.core.data | Command: ReadReq
 698000: global: Accessing address 0xbeaa0 from processor.cores0.core.data | Command: WriteReq
 699000: global: Accessing address 0xc3ca0 from processor.cores0.core.data | Command: ReadReq
 702000: global: Accessing address 0xc2890 from processor.cores0.core.data | Command: WriteReq
 704000: global: Accessing address 0xc3ca7 from processor.cores0.core.data | Command: ReadReq
 709000: global: Accessing address 0xc3c98 from processor.cores0.core.data | Command: ReadReq
 712000: global: Accessing address 0xbea60 from processor.cores0.core.data | Command: WriteReq
 719000: global: Accessing address 0xc3ca8 from processor.cores0.core.data | Command: ReadReq
 722000: global: Accessing address 0xc3cb0 from processor.cores0.core.data | Command: ReadReq
 725000: global: Accessing address 0xc3cb8 from processor.cores0.core.data | Command: ReadReq
 729000: global: Accessing address 0xc3cc0 from processor.cores0.core.data | Command: ReadReq
 732000: global: Accessing address 0xc3cc8 from processor.cores0.core.data | Command: ReadReq
 735000: global: Accessing address 0xc3cd0 from processor.cores0.core.data | Command: ReadReq
 738000: global: Accessing address 0xc3cd8 from processor.cores0.core.data | Command: ReadReq
 743000: global: Accessing address 0xc2810 from processor.cores0.core.data | Command: ReadReq
 750000: global: Accessing address 0xc3cd8 from processor.cores0.core.data | Command: WriteReq
 756000: global: Accessing address 0xc2890 from processor.cores0.core.data | Command: ReadReq
 761000: global: Accessing address 0xc3cd8 from processor.cores0.core.data | Command: ReadReq
 766000: global: Accessing address 0xc1cd8 from processor.cores0.core.data | Command: ReadReq
 770000: global: Accessing address 0xc3cd8 from processor.cores0.core.data | Command: WriteReq
 774000: global: Accessing address 0xc3cd0 from processor.cores0.core.data | Command: WriteReq
 778000: global: Accessing address 0xc3cc8 from processor.cores0.core.data | Command: WriteReq
 780000: global: Accessing address 0xc3cc0 from processor.cores0.core.data | Command: WriteReq
 782000: global: Accessing address 0xc3cb8 from processor.cores0.core.data | Command: WriteReq
 784000: global: Accessing address 0xc3cb0 from processor.cores0.core.data | Command: WriteReq
 786000: global: Accessing address 0xc3ca8 from processor.cores0.core.data | Command: WriteReq
 792000: global: Accessing address 0xbeaa0 from processor.cores0.core.data | Command: ReadReq
 806000: global: Accessing address 0xc3e28 from processor.cores0.core.data | Command: ReadReq
 813000: global: Accessing address 0xc3ca8 from processor.cores0.core.data | Command: ReadReq
 816000: global: Accessing address 0xc3cb0 from processor.cores0.core.data | Command: ReadReq
 819000: global: Accessing address 0xc3cb8 from processor.cores0.core.data | Command: ReadReq
 822000: global: Accessing address 0xc3cc0 from processor.cores0.core.data | Command: ReadReq
 825000: global: Accessing address 0xc3cc8 from processor.cores0.core.data | Command: ReadReq
 828000: global: Accessing address 0xc3cd0 from processor.cores0.core.data | Command: ReadReq
 831000: global: Accessing address 0xc3cd8 from processor.cores0.core.data | Command: ReadReq
 837000: global: Accessing address 0xc3d0c from processor.cores0.core.data | Command: WriteReq
 841000: global: Accessing address 0xc3d10 from processor.cores0.core.data | Command: WriteReq
